"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ATP6V1B2",8.27142636249549e-10,0.266056142221807,0.146,0.069,1.29911022449354e-05
"CDYL",8.57771388169422e-10,0.282132052769119,0.271,0.159,1.34721574225889e-05
"PRIM2",9.14987864292908e-10,0.398687296880171,0.209,0.115,1.43707993965844e-05
"SNAP23",1.14882297935788e-09,0.261098652992275,0.211,0.115,1.80434137137949e-05
"RASGEF1B",1.16267998477647e-09,0.300117359434184,0.105,0.044,1.82610518408993e-05
"PLSCR1",1.20456331150492e-09,0.260229419796446,0.114,0.049,1.89188713704963e-05
"CHSY1",1.23484981835138e-09,0.339115154662367,0.26,0.154,1.93945512470268e-05
"PTPN14",2.03131141389370e-09,0.361003963082918,0.23,0.132,3.19037770666144e-05
"VSIR",2.59535156285303e-09,0.26784939638775,0.198,0.108,4.07625916461697e-05
"RNF213",4.05385396963643e-09,0.275926905203021,0.267,0.159,6.36698304471097e-05
"RNF149",4.51129841576715e-09,0.256374203635378,0.265,0.157,7.08544529180389e-05
"EML4",4.65240508581332e-09,0.298652377992063,0.292,0.178,7.30706742777841e-05
"CAB39",5.04398766577450e-09,0.375201142859822,0.256,0.155,7.92208702786542e-05
"RAB8B",5.21586210131008e-09,0.315631105736523,0.217,0.123,8.19203301631761e-05
"ADAM17",6.01132562450973e-09,0.298693324926474,0.232,0.134,9.44138802585498e-05
"SDCBP",6.14381384580098e-09,0.269956249946347,0.153,0.076,9.64947402621502e-05
"MCL1",6.22750487633701e-09,0.261266392502284,0.222,0.126,9.78091915877491e-05
"RNF111",8.44812305058204e-09,0.342686371470886,0.299,0.186,0.000132686220632442
"CCDC40",9.59339285682425e-09,0.277072761115952,0.112,0.051,0.000150673828209282
"PARP4",1.02565295545182e-08,0.264332215410346,0.133,0.064,0.000161089053183262
"PBX3",1.51151113895976e-08,0.260408789202362,0.198,0.11,0.00023739793948502
"JAK2",1.61744639613027e-08,0.282371728956179,0.237,0.139,0.00025403613097622
"GGNBP2",2.92639490201939e-08,0.291268360180086,0.206,0.117,0.000459619583311165
"TBC1D12",2.96645591445347e-08,0.27810026959468,0.234,0.14,0.000465911565924062
"USP6NL",3.45068898340074e-08,0.34345628363508,0.215,0.126,0.000541965211732921
"BHLHE41",3.84230296330957e-08,0.292823153458043,0.135,0.068,0.000603472103417401
"TM9SF3",4.79462516248748e-08,0.276676090038932,0.297,0.191,0.000753043828020284
"SLC23A2",5.63143440502037e-08,0.286876888214763,0.271,0.171,0.000884473087652499
"PARP14",6.69852029641227e-08,0.293930345401393,0.127,0.063,0.00105206959775451
"FEZ2",7.44494368361541e-08,0.258957204685147,0.228,0.135,0.00116930285494864
